timestamp,timestampms,tid,price,amount,exchange,type
1609544944,1609544944459,18412379133,29345.32,0.3409,gemini,buy
1609544944,1609544944470,18412379176,29346.97,0.34089877,gemini,buy
1609544944,1609544944470,18412379174,29345.32,0.00000123,gemini,buy
1609544944,1609544944503,18412379197,29348.62,0.34089754,gemini,buy
1609544944,1609544944503,18412379203,29348.62,0.00000369,gemini,buy
1609544944,1609544944503,18412379205,29349.75,0.34079631,gemini,buy
1609544944,1609544944621,18412379337,29349.75,0.00009,gemini,buy
1609544918,1609544918143,18412370785,29349.15,0.04956756,gemini,buy
1609544905,1609544905611,18412368185,29349.15,0.00983532,gemini,buy
1609544890,1609544890505,18412363956,29349.15,0.00160137,gemini,buy
1609544877,1609544877841,18412360729,29345.74,0.00003262,gemini,buy
1609544877,1609544877841,18412360731,29347.44,0.16697605,gemini,buy
1609544872,1609544872610,18412358752,29325.01,0.00882247,gemini,sell
1609544872,1609544872610,18412358750,29350.00,0.00003653,gemini,sell
1609544872,1609544872098,18412358602,29350.01,0.0033952704,gemini,buy
1609544863,1609544863123,18412355582,29353.02,0.00162763,gemini,buy
1609544862,1609544862124,18412355262,29353.02,0.00098913,gemini,buy
1609544862,1609544862124,18412355260,29353.01,0.00004438,gemini,buy
1609544824,1609544824309,18412338980,29350.00,0.2401,gemini,sell
1609544814,1609544814812,18412330919,29361.97,0.0016969437,gemini,buy
1609544807,1609544807977,18412328942,29361.97,0.00162697,gemini,buy
1609544805,1609544805318,18412328317,29361.97,0.02891896,gemini,buy
1609544805,1609544805318,18412328315,29361.96,0.0000251,gemini,buy
1609544790,1609544790565,18412324469,29361.97,0.24088195,gemini,buy
1609544790,1609544790565,18412324467,29361.96,0.00031856,gemini,buy
1609544772,1609544772556,18412318267,29366.00,0.0000003393,gemini,buy
1609544757,1609544757297,18412313495,29358.26,0.00029855,gemini,sell
1609544743,1609544743309,18412308596,29366.00,0.00667517,gemini,buy
1609544740,1609544740210,18412307386,29366.00,0.00273549,gemini,buy
1609544728,1609544728353,18412304327,29364.64,0.00328719,gemini,buy
1609544725,1609544725509,18412303450,29364.64,0.00080551,gemini,buy
1609544718,1609544718340,18412301213,29366.99,0.00616693,gemini,buy
1609544717,1609544717634,18412300870,29366.99,0.03006497,gemini,buy
1609544709,1609544709155,18412297836,29366.99,0.00328693,gemini,buy
1609544701,1609544701975,18412295986,29366.99,0.00046515,gemini,buy
1609544679,1609544679546,18412288772,29380.82,0.00216694,gemini,buy
1609544650,1609544650605,18412282741,29380.82,0.01501947,gemini,buy
1609544639,1609544639308,18412278334,29367.51,0.00301639,gemini,buy
1609544616,1609544616447,18412271871,29372.78,0.00057461,gemini,buy
1609544616,1609544616447,18412271869,29372.77,0.00003197,gemini,buy
1609544611,1609544611090,18412269312,29379.32,0.01665516,gemini,buy
1609544611,1609544611090,18412269310,29379.31,0.00002765,gemini,buy
1609544597,1609544597536,18412266222,29377.51,0.01757379,gemini,buy
1609544591,1609544591338,18412263173,29393.46,0.01077103,gemini,buy
1609544586,1609544586795,18412261604,29395.71,0.00273244,gemini,buy
1609544562,1609544562679,18412255140,29385.48,0.00328411,gemini,buy
1609544560,1609544560649,18412254372,29385.48,0.00804637,gemini,buy
1609544560,1609544560138,18412254169,29385.48,0.81883774,gemini,buy
1609544560,1609544560138,18412254167,29385.47,0.18136532,gemini,buy
1609544553,1609544553836,18412251222,29389.21,0.00046486,gemini,buy
1609544549,1609544549384,18412249330,29393.69,0.000000339,gemini,buy
1609544549,1609544549407,18412249371,29379.03,0.00374416,gemini,sell
1609544549,1609544549407,18412249373,29372.65,0.18180782,gemini,sell
1609544549,1609544549407,18412249375,29372.64,0.39424802,gemini,sell
1609544543,1609544543306,18412246909,29391.80,0.04076602,gemini,buy
1609544543,1609544543306,18412246907,29391.79,0.0170588,gemini,buy
1609544540,1609544540767,18412244787,29383.76,0.01700681,gemini,sell
1609544535,1609544535533,18412243242,29399.85,0.00089002,gemini,buy
1609544533,1609544533380,18412242645,29399.85,0.00328324,gemini,buy
1609544510,1609544510991,18412233837,29400.00,0.02000406,gemini,buy
1609544510,1609544510445,18412233618,29400.00,0.00400794,gemini,buy
1609544502,1609544502407,18412232131,29399.99,0.22812075,gemini,sell
